date,time,price_hkd,volume_shares,avg_price_hkd
2026-09-23,09:30,0.310,0,0.000
2026-09-23,09:31,0.310,0,0.000
2026-09-23,09:32,0.310,0,0.000
2026-09-23,09:33,0.310,0,0.000
2026-09-23,09:34,0.310,0,0.000
2026-09-23,09:35,0.310,0,0.000
2026-09-23,09:36,0.310,0,0.000
2026-09-23,09:37,0.310,0,0.000
2026-09-23,09:38,0.310,0,0.000
2026-09-23,09:39,0.310,0,0.000
2026-09-23,09:40,0.310,0,0.000
2026-09-23,09:41,0.310,0,0.000
2026-09-23,09:42,0.310,0,0.000
2026-09-23,09:43,0.310,0,0.000
2026-09-23,09:44,0.310,0,0.000
2026-09-23,09:45,0.310,0,0.000
2026-09-23,09:46,0.310,0,0.000
2026-09-23,09:47,0.310,0,0.000
2026-09-23,09:48,0.310,0,0.000
2026-09-23,09:49,0.310,0,0.000
2026-09-23,09:50,0.310,0,0.000
2026-09-23,09:51,0.310,0,0.000
2026-09-23,09:52,0.310,0,0.000
2026-09-23,09:53,0.310,0,0.000
2026-09-23,09:54,0.310,0,0.000
2026-09-23,09:55,0.310,0,0.000
2026-09-23,09:56,0.310,0,0.000
2026-09-23,09:57,0.310,0,0.000
2026-09-23,09:58,0.310,0,0.000
2026-09-23,09:59,0.310,0,0.000
2026-09-23,10:00,0.310,0,0.000
2026-09-23,10:01,0.310,0,0.000
2026-09-23,10:02,0.310,0,0.000
2026-09-23,10:03,0.310,0,0.000
2026-09-23,10:04,0.310,0,0.000
2026-09-23,10:05,0.310,0,0.000
2026-09-23,10:06,0.310,0,0.000
2026-09-23,10:07,0.310,0,0.000
2026-09-23,10:08,0.310,0,0.000
2026-09-23,10:09,0.310,0,0.000
2026-09-23,10:10,0.310,0,0.000
2026-09-23,10:11,0.310,0,0.000
2026-09-23,10:12,0.310,0,0.000
2026-09-23,10:13,0.310,0,0.000
2026-09-23,10:14,0.310,0,0.000
2026-09-23,10:15,0.310,0,0.000
2026-09-23,10:16,0.310,0,0.000
2026-09-23,10:17,0.310,0,0.000
2026-09-23,10:18,0.310,27000,8370.000
2026-09-23,10:19,0.310,27000,8370.000
2026-09-23,10:20,0.310,27000,8370.000
2026-09-23,10:21,0.310,27000,8370.000
2026-09-23,10:22,0.310,27000,8370.000
2026-09-23,10:23,0.310,27000,8370.000
2026-09-23,10:24,0.310,27000,8370.000
2026-09-23,10:25,0.310,27000,8370.000
2026-09-23,10:26,0.310,27000,8370.000
2026-09-23,10:27,0.315,27000,8370.000
2026-09-23,10:28,0.315,27000,8370.000
2026-09-23,10:29,0.315,27000,8370.000
2026-09-23,10:30,0.320,28000,8690.000
2026-09-23,10:31,0.320,28000,8690.000
2026-09-23,10:32,0.320,28000,8690.000
2026-09-23,10:33,0.320,28000,8690.000
2026-09-23,10:34,0.335,32000,10015.000
2026-09-23,10:35,0.335,32000,10015.000
2026-09-23,10:36,0.335,47000,15040.000
2026-09-23,10:37,0.335,47000,15040.000
2026-09-23,10:38,0.345,51000,16415.000
2026-09-23,10:39,0.350,57000,18515.000
2026-09-23,10:40,0.350,81000,26875.000
