time,price,volume,f4,side
10:22:18,0.320,28000,0,1
10:24:45,0.320,72000,0,2
10:30:58,0.330,20000,0,1
10:37:59,0.320,6000,0,1
10:37:59,0.315,6000,0,1
10:37:59,0.315,8000,0,1
13:14:41,0.320,2000,0,2
14:00:20,0.320,9000,0,2
14:00:25,0.330,6000,0,2
