date,time,price_hkd,volume_shares,avg_price_hkd
2026-09-24,09:30,0.320,0,0.000
2026-09-24,09:31,0.320,0,0.000
2026-09-24,09:32,0.320,0,0.000
2026-09-24,09:33,0.320,0,0.000
2026-09-24,09:34,0.320,0,0.000
2026-09-24,09:35,0.320,0,0.000
2026-09-24,09:36,0.320,0,0.000
2026-09-24,09:37,0.320,0,0.000
2026-09-24,09:38,0.320,0,0.000
2026-09-24,09:39,0.320,0,0.000
2026-09-24,09:40,0.320,0,0.000
2026-09-24,09:41,0.320,0,0.000
2026-09-24,09:42,0.320,0,0.000
2026-09-24,09:43,0.320,0,0.000
2026-09-24,09:44,0.320,0,0.000
2026-09-24,09:45,0.320,0,0.000
2026-09-24,09:46,0.320,0,0.000
2026-09-24,09:47,0.320,0,0.000
2026-09-24,09:48,0.320,0,0.000
2026-09-24,09:49,0.320,0,0.000
2026-09-24,09:50,0.320,0,0.000
2026-09-24,09:51,0.320,0,0.000
2026-09-24,09:52,0.320,0,0.000
2026-09-24,09:53,0.320,0,0.000
2026-09-24,09:54,0.320,0,0.000
2026-09-24,09:55,0.320,0,0.000
2026-09-24,09:56,0.320,0,0.000
2026-09-24,09:57,0.320,0,0.000
2026-09-24,09:58,0.320,0,0.000
2026-09-24,09:59,0.320,0,0.000
2026-09-24,10:00,0.320,0,0.000
2026-09-24,10:01,0.320,0,0.000
2026-09-24,10:02,0.320,0,0.000
2026-09-24,10:03,0.320,0,0.000
2026-09-24,10:04,0.320,0,0.000
2026-09-24,10:05,0.320,0,0.000
2026-09-24,10:06,0.320,0,0.000
2026-09-24,10:07,0.320,0,0.000
2026-09-24,10:08,0.320,0,0.000
2026-09-24,10:09,0.320,0,0.000
2026-09-24,10:10,0.320,0,0.000
2026-09-24,10:11,0.320,0,0.000
2026-09-24,10:12,0.320,0,0.000
2026-09-24,10:13,0.320,0,0.000
2026-09-24,10:14,0.320,0,0.000
2026-09-24,10:15,0.320,0,0.000
2026-09-24,10:16,0.320,0,0.000
2026-09-24,10:17,0.320,0,0.000
2026-09-24,10:18,0.320,0,0.000
2026-09-24,10:19,0.320,0,0.000
2026-09-24,10:20,0.320,0,0.000
