date,time,price_hkd,volume_shares,avg_price_hkd
2026-09-18,09:30,0.285,0,0.000
2026-09-18,09:31,0.285,0,0.000
2026-09-18,09:32,0.285,0,0.000
2026-09-18,09:33,0.285,0,0.000
2026-09-18,09:34,0.285,0,0.000
2026-09-18,09:35,0.285,0,0.000
2026-09-18,09:36,0.285,0,0.000
2026-09-18,09:37,0.285,0,0.000
2026-09-18,09:38,0.285,0,0.000
2026-09-18,09:39,0.285,0,0.000
2026-09-18,09:40,0.285,0,0.000
2026-09-18,09:41,0.285,0,0.000
2026-09-18,09:42,0.285,0,0.000
2026-09-18,09:43,0.285,0,0.000
2026-09-18,09:44,0.285,0,0.000
2026-09-18,09:45,0.285,0,0.000
2026-09-18,09:46,0.285,0,0.000
2026-09-18,09:47,0.285,0,0.000
2026-09-18,09:48,0.285,0,0.000
2026-09-18,09:49,0.285,0,0.000
2026-09-18,09:50,0.285,0,0.000
2026-09-18,09:51,0.285,0,0.000
2026-09-18,09:52,0.285,0,0.000
2026-09-18,09:53,0.285,0,0.000
2026-09-18,09:54,0.285,0,0.000
2026-09-18,09:55,0.285,0,0.000
2026-09-18,09:56,0.285,0,0.000
2026-09-18,09:57,0.285,0,0.000
2026-09-18,09:58,0.285,0,0.000
2026-09-18,09:59,0.285,0,0.000
2026-09-18,10:00,0.285,0,0.000
2026-09-18,10:01,0.285,0,0.000
2026-09-18,10:02,0.285,0,0.000
2026-09-18,10:03,0.285,0,0.000
2026-09-18,10:04,0.285,0,0.000
2026-09-18,10:05,0.285,0,0.000
2026-09-18,10:06,0.285,0,0.000
2026-09-18,10:07,0.285,0,0.000
2026-09-18,10:08,0.285,0,0.000
2026-09-18,10:09,0.285,0,0.000
2026-09-18,10:10,0.285,0,0.000
2026-09-18,10:11,0.285,0,0.000
2026-09-18,10:12,0.285,0,0.000
2026-09-18,10:13,0.285,0,0.000
2026-09-18,10:14,0.285,0,0.000
2026-09-18,10:15,0.285,0,0.000
2026-09-18,10:16,0.285,0,0.000
2026-09-18,10:17,0.285,0,0.000
2026-09-18,10:18,0.285,0,0.000
2026-09-18,10:19,0.285,0,0.000
2026-09-18,10:20,0.285,0,0.000
2026-09-18,10:21,0.285,0,0.000
2026-09-18,10:22,0.285,0,0.000
2026-09-18,10:23,0.285,0,0.000
2026-09-18,10:24,0.285,0,0.000
2026-09-18,10:25,0.285,0,0.000
2026-09-18,10:26,0.285,0,0.000
2026-09-18,10:27,0.285,0,0.000
2026-09-18,10:28,0.285,0,0.000
2026-09-18,10:29,0.285,0,0.000
2026-09-18,10:30,0.285,0,0.000
2026-09-18,10:31,0.285,0,0.000
2026-09-18,10:32,0.285,0,0.000
2026-09-18,10:33,0.285,0,0.000
2026-09-18,10:34,0.285,0,0.000
2026-09-18,10:35,0.285,0,0.000
2026-09-18,10:36,0.285,0,0.000
2026-09-18,10:37,0.285,0,0.000
2026-09-18,10:38,0.285,0,0.000
2026-09-18,10:39,0.285,0,0.000
2026-09-18,10:40,0.285,0,0.000
2026-09-18,10:41,0.285,0,0.000
2026-09-18,10:42,0.285,0,0.000
2026-09-18,10:43,0.285,0,0.000
2026-09-18,10:44,0.285,0,0.000
2026-09-18,10:45,0.285,0,0.000
2026-09-18,10:46,0.285,0,0.000
2026-09-18,10:47,0.285,0,0.000
2026-09-18,10:48,0.285,0,0.000
2026-09-18,10:49,0.285,0,0.000
2026-09-18,10:50,0.285,0,0.000
2026-09-18,10:51,0.285,0,0.000
2026-09-18,10:52,0.285,0,0.000
2026-09-18,10:53,0.285,0,0.000
2026-09-18,10:54,0.285,0,0.000
2026-09-18,10:55,0.285,0,0.000
2026-09-18,10:56,0.285,0,0.000
2026-09-18,10:57,0.285,0,0.000
2026-09-18,10:58,0.285,0,0.000
2026-09-18,10:59,0.285,0,0.000
2026-09-18,11:00,0.285,0,0.000
2026-09-18,11:01,0.285,0,0.000
2026-09-18,11:02,0.285,0,0.000
2026-09-18,11:03,0.285,0,0.000
2026-09-18,11:04,0.285,0,0.000
2026-09-18,11:05,0.285,0,0.000
2026-09-18,11:06,0.285,0,0.000
2026-09-18,11:07,0.285,0,0.000
2026-09-18,11:08,0.285,0,0.000
2026-09-18,11:09,0.285,0,0.000
2026-09-18,11:10,0.285,0,0.000
2026-09-18,11:11,0.285,0,0.000
2026-09-18,11:12,0.285,0,0.000
2026-09-18,11:13,0.285,0,0.000
2026-09-18,11:14,0.285,0,0.000
2026-09-18,11:15,0.285,0,0.000
2026-09-18,11:16,0.285,0,0.000
2026-09-18,11:17,0.285,0,0.000
2026-09-18,11:18,0.285,0,0.000
2026-09-18,11:19,0.285,0,0.000
2026-09-18,11:20,0.285,0,0.000
2026-09-18,11:21,0.285,0,0.000
2026-09-18,11:22,0.285,0,0.000
2026-09-18,11:23,0.285,0,0.000
2026-09-18,11:24,0.285,0,0.000
2026-09-18,11:25,0.285,0,0.000
2026-09-18,11:26,0.285,0,0.000
2026-09-18,11:27,0.285,0,0.000
2026-09-18,11:28,0.285,0,0.000
2026-09-18,11:29,0.285,0,0.000
2026-09-18,11:30,0.285,0,0.000
2026-09-18,11:31,0.285,0,0.000
2026-09-18,11:32,0.285,0,0.000
2026-09-18,11:33,0.285,0,0.000
2026-09-18,11:34,0.285,0,0.000
2026-09-18,11:35,0.285,0,0.000
2026-09-18,11:36,0.285,0,0.000
2026-09-18,11:37,0.285,0,0.000
2026-09-18,11:38,0.285,0,0.000
2026-09-18,11:39,0.285,0,0.000
2026-09-18,11:40,0.285,0,0.000
2026-09-18,11:41,0.285,0,0.000
2026-09-18,11:42,0.285,0,0.000
2026-09-18,11:43,0.285,0,0.000
2026-09-18,11:44,0.285,0,0.000
2026-09-18,11:45,0.285,0,0.000
2026-09-18,11:46,0.285,0,0.000
2026-09-18,11:47,0.285,0,0.000
2026-09-18,11:48,0.285,0,0.000
2026-09-18,11:49,0.285,0,0.000
2026-09-18,11:50,0.285,0,0.000
2026-09-18,11:51,0.285,0,0.000
2026-09-18,11:52,0.285,0,0.000
2026-09-18,11:53,0.285,0,0.000
2026-09-18,11:54,0.285,0,0.000
2026-09-18,11:55,0.285,0,0.000
2026-09-18,11:56,0.285,0,0.000
2026-09-18,11:57,0.285,0,0.000
2026-09-18,11:58,0.285,0,0.000
2026-09-18,11:59,0.285,0,0.000
2026-09-18,12:00,0.285,0,0.000
2026-09-18,13:00,0.285,0,0.000
2026-09-18,13:01,0.285,0,0.000
2026-09-18,13:02,0.285,0,0.000
2026-09-18,13:03,0.285,0,0.000
2026-09-18,13:04,0.285,0,0.000
2026-09-18,13:05,0.285,0,0.000
2026-09-18,13:06,0.285,0,0.000
2026-09-18,13:07,0.285,0,0.000
2026-09-18,13:08,0.285,0,0.000
2026-09-18,13:09,0.285,0,0.000
2026-09-18,13:10,0.285,0,0.000
2026-09-18,13:11,0.285,0,0.000
2026-09-18,13:12,0.285,0,0.000
2026-09-18,13:13,0.285,0,0.000
2026-09-18,13:14,0.285,0,0.000
2026-09-18,13:15,0.285,0,0.000
2026-09-18,13:16,0.285,0,0.000
2026-09-18,13:17,0.285,0,0.000
2026-09-18,13:18,0.285,0,0.000
2026-09-18,13:19,0.285,0,0.000
2026-09-18,13:20,0.285,0,0.000
2026-09-18,13:21,0.285,0,0.000
2026-09-18,13:22,0.285,0,0.000
2026-09-18,13:23,0.285,0,0.000
2026-09-18,13:24,0.285,0,0.000
2026-09-18,13:25,0.285,0,0.000
2026-09-18,13:26,0.285,0,0.000
2026-09-18,13:27,0.285,0,0.000
2026-09-18,13:28,0.285,0,0.000
2026-09-18,13:29,0.285,0,0.000
2026-09-18,13:30,0.285,0,0.000
2026-09-18,13:31,0.285,0,0.000
2026-09-18,13:32,0.285,0,0.000
2026-09-18,13:33,0.285,0,0.000
2026-09-18,13:34,0.285,0,0.000
2026-09-18,13:35,0.285,0,0.000
2026-09-18,13:36,0.285,0,0.000
2026-09-18,13:37,0.285,0,0.000
